"","i_dataset","trial_num","trial_id","target_set","n_circles_all_frames_below","density_traj_type","target_density_traj_type","n_circles_all_frames_above"
"1",1,169,"1-169","1-4-14-15-16",5,"below","below",NA
"2",1,169,"1-169","1-4-5-14-16",5,"below","below",NA
"3",1,169,"1-169","1-4-5-15-16",5,"below","below",NA
"4",1,169,"1-169","2-3-6-7-10",5,"below","below",NA
"5",1,169,"1-169","2-3-6-7-8",5,"below","below",NA
"6",1,169,"1-169","2-3-6-8-10",5,"below","below",NA
"7",1,169,"1-169","2-6-8-9-10",5,"below","below",NA
"8",1,210,"1-210","1-2-10-13-15",5,"below","below",NA
"9",1,210,"1-210","1-2-11-13-15",5,"below","below",NA
"10",1,210,"1-210","1-2-7-10-13",5,"below","below",NA
"11",1,210,"1-210","1-2-7-10-15",5,"below","below",NA
"12",1,210,"1-210","1-2-7-11-15",5,"below","below",NA
"13",1,210,"1-210","1-2-7-13-15",5,"below","below",NA
"14",1,210,"1-210","1-5-11-14-15",5,"below","below",NA
"15",1,210,"1-210","1-7-10-13-15",5,"below","below",NA
"16",1,210,"1-210","1-7-11-13-15",5,"below","below",NA
"17",1,210,"1-210","1-7-11-14-15",5,"below","below",NA
"18",1,210,"1-210","1-7-13-15-16",5,"below","below",NA
"19",1,210,"1-210","2-7-10-13-15",5,"below","below",NA
"20",1,210,"1-210","2-7-11-13-15",5,"below","below",NA
"21",1,210,"1-210","2-7-11-13-16",5,"below","below",NA
"22",1,210,"1-210","2-7-13-15-16",5,"below","below",NA
"23",1,210,"1-210","2-7-8-10-13",5,"below","below",NA
"24",1,210,"1-210","2-7-8-10-15",5,"below","below",NA
"25",1,210,"1-210","2-8-10-13-15",5,"below","below",NA
"26",1,210,"1-210","6-7-11-13-15",5,"below","below",NA
"27",1,210,"1-210","7-11-13-15-16",5,"below","below",NA
"28",1,210,"1-210","7-8-10-13-15",5,"below","below",NA
"29",1,511,"1-511","1-2-5-10-15",5,"below","below",NA
"30",1,511,"1-511","3-8-10-15-16",5,"below","below",NA
"31",2,42,"2-42","10-11-12-14-15",5,"below","below",NA
"32",2,42,"2-42","3-5-6-14-15",5,"below","below",NA
"33",2,42,"2-42","3-5-6-8-14",5,"below","below",NA
"34",2,42,"2-42","3-5-6-8-15",5,"below","below",NA
"35",2,42,"2-42","3-5-7-10-15",5,"below","below",NA
"36",2,42,"2-42","3-5-7-14-15",5,"below","below",NA
"37",2,42,"2-42","3-5-8-11-14",5,"below","below",NA
